year,gdp
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,554713455149.502
1989,506500173960.269
1990,516814274021.956
1991,517962962962.963
1992,460290556900.726
1993,435083713850.837
1994,395077301248.464
1995,395537185734.854
1996,391724890744.498
1997,404928954191.876
1998,270955486862.442
1999,195907128350.934
2000,259710142196.943
2001,306602070620.5
2002,345470494417.863
2003,430347770733.155
2004,591016690742.937
2005,764017107993.346
2006,989930542278.684
2007,1299705764824.48
2008,1660846387626
2009,1222644282200.48
2010,1524917468442.6
2011,2051661732059.47
2012,2210256976944.74
2013,2297128039058.16
2014,2059984158384.6
2015,1363594369511.4
2016,1282723881083.71
2017,1578624060588.26
2018,1657553765580.67
